Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Occupation_Numeric,Credit_History_Age_Numeric,Payment_of_Min_Amount_Numeric,Payment_Behaviour_Numeric,Credit_Score_Numeric
14.0,34627.86,2748.655,8,8,19,3.0,16,10.0,10.17,11.0,2538.81,26.98456318867257,81.83340589230718,126.069016,336.96307,10,84,1,6,3
14.0,34627.86,2748.655,8,8,19,3.0,16,14.0,10.17,11.0,2538.81,37.22145703971663,81.83340589230718,346.00076,137.03134,10,96,1,4,3
14.0,34627.86,2748.655,8,8,19,3.0,16,13.0,10.17,11.0,2538.81,26.03670952223402,81.83340589230718,136.48514,336.54697,10,96,1,5,3
14.0,36681.48,2999.7900000000004,7,10,20,6.0,35,15.0,8.78,12.0,2352.66,35.98302595792795,153.1074918560046,99.69322,307.17828,10,96,1,1,3
14.0,36681.48,2999.7900000000004,7,10,20,6.0,35,18.0,13.78,15.0,2352.66,33.359106835764564,153.1074918560046,70.47185,316.39966,10,96,3,3,3
14.0,36681.48,2999.7900000000004,7,10,20,6.0,35,14.0,8.78,15.0,2352.66,27.670873696691643,153.1074918560046,165.02583,271.84567,10,0,1,4,3
14.0,36681.48,2999.7900000000004,7,10,20,6.0,35,15.0,8.78,15.0,2352.66,24.11141449900437,153.1074918560046,110.01752,296.854,10,96,3,1,2
14.0,52243.64,4421.636666666666,8,6,11,1.0,18,11.0,11.61,5.0,1336.5,33.41666311345657,33.631453055367864,122.854355,535.67786,5,252,3,6,2
14.0,52243.64,4421.636666666666,8,6,11,1.0,15,11.0,11.61,5.0,1336.5,38.01675926347839,33.631453055367864,113.61981,534.9124,5,252,1,3,2
14.0,52243.64,4421.636666666666,8,6,11,1.0,15,13.0,11.61,5.0,1336.5,39.78563165688543,33.631453055367864,42.988724,605.5435,5,252,1,3,2
14.0,52243.64,4421.636666666666,8,6,11,1.0,15,9.0,13.61,8.0,1336.5,41.22081383402269,33.631453055367864,75.77868,582.75354,5,264,1,2,2
14.0,46175.49,4098.9575,6,6,18,4.0,42,25.0,8.11,7.0,2488.96,21.911736912187628,105.32410165618906,433.08987,161.48178,9,132,1,4,3
14.0,46175.49,4098.9575,6,6,18,4.0,36,25.0,8.11,7.0,2488.96,39.44135678628031,105.32410165618906,300.1778,274.39383,9,132,1,6,3
14.0,8871.555,853.29625,8,7,20,9.0,22,23.0,5.72,9.0,1584.64,22.861782392308783,40.10835921305584,33.022602,262.19867,15,180,1,2,3
14.0,8871.555,853.29625,8,7,20,9.0,22,22.0,5.72,9.0,1584.64,31.37222271178069,40.10835921305584,40.35357,294.8677,15,180,1,4,3
14.0,8871.555,853.29625,8,7,20,9.0,21,26.0,5.72,9.0,1584.64,35.12587259116155,40.10835921305584,26.18445,279.0368,15,180,3,1,3
14.0,8871.555,853.29625,8,7,20,9.0,26,23.0,5.72,14.0,1584.64,32.90993601745852,40.10835921305584,40.858864,264.3624,15,192,1,6,3
14.0,8871.555,817.7695382171477,8,7,20,9.0,22,23.0,5.72,14.0,1584.64,38.049419069510066,75.63507099590805,73.44124,251.78003,15,192,3,5,2
14.0,17206.61,1523.884166666667,10,8,33,8.0,38,15.0,1.85,8.0,3218.04,28.65556970622828,65.32208336856283,158.65031,218.41602,8,0,1,4,2
14.0,17206.61,1523.884166666667,10,8,33,8.0,38,18.0,1.85,10.0,3218.04,33.66282519681853,65.32208336856283,37.17451,299.8918,8,108,1,2,2
14.0,17206.61,1523.884166666667,10,8,33,8.0,36,17.0,1.85,10.0,3218.04,37.17909940273528,65.32208336856283,32.64387,294.42245,8,0,1,3,2
14.0,17206.61,1523.884166666667,10,8,33,8.0,38,16.0,1.85,10.0,3218.04,32.329236291759045,65.32208336856283,204.4687,172.59763,8,108,1,4,2
14.0,87786.15,7424.5125,5,5,13,1.0,30,14.0,10.02,10.0,1428.48,38.00040452523334,69.43241361193164,182.91283,730.106,2,204,3,3,2
14.0,87786.15,7424.5125,5,5,13,1.0,32,16.0,10.02,10.0,1428.48,41.48109348516964,69.43241361193164,193.48744,729.5314,2,204,1,2,2
14.0,87786.15,7424.5125,5,5,13,1.0,29,16.0,10.02,10.0,1428.48,31.980886744562397,69.43241361193164,228.3412,694.6776,8,204,3,2,2
14.0,28312.79,2566.3991666666666,3,3,5,3.0,29,9.0,16.57,5.0,365.77,25.87785148152151,50.677357383603926,80.092285,385.87027,15,108,1,1,2
14.0,28312.79,2566.3991666666666,3,3,5,3.0,29,7.0,16.57,5.0,365.77,32.40606824719076,50.677357383603926,271.93124,224.0313,15,108,1,4,2
14.0,28312.79,2566.3991666666666,3,3,5,3.0,26,9.0,20.57,5.0,365.77,29.008848451236425,50.677357383603926,264.98297,220.9796,15,108,3,5,2
14.0,28312.79,2566.3991666666666,3,3,5,3.0,29,9.0,16.57,6.0,365.77,30.129590227361422,50.677357383603926,179.4587,296.50388,15,108,3,6,2
14.0,35626.75,2954.895833333333,4,7,13,3.0,11,9.0,10.09,6.0,1200.59,27.08827839973441,47.33271657209453,24.148026,464.00885,13,204,1,3,2
14.0,35626.75,2954.895833333333,4,7,13,3.0,11,11.0,8.09,6.0,1200.59,34.40332601176657,47.33271657209453,300.50403,237.65283,13,204,1,4,2
14.0,35626.75,2954.895833333333,4,7,13,3.0,11,7.0,8.09,6.0,1200.59,22.038658936242108,47.33271657209453,263.39175,254.76509,13,204,3,6,2
14.0,35626.75,2954.895833333333,4,7,13,3.0,11,9.0,8.09,6.0,1200.59,25.081740072318354,47.33271657209453,308.6079,229.54895,8,204,1,4,2
14.0,35626.75,2954.895833333333,4,7,13,3.0,11,9.0,13.09,9.0,1200.59,23.33326208871707,47.33271657209453,214.05331,304.10355,13,216,1,6,1
14.0,9150.48,992.54,8,3,15,5.0,10,17.0,9.17,4.0,177.16,32.389059856775845,22.50044085925581,24.93341,321.82016,8,168,1,6,2
14.0,9150.48,992.54,8,3,15,5.0,11,16.0,9.17,4.0,177.16,39.571281330316026,22.50044085925581,48.421185,318.33237,1,168,1,4,2
14.0,9150.48,992.54,8,3,15,5.0,10,21.0,9.17,4.0,177.16,28.066568305000835,22.50044085925581,37.717537,329.036,1,168,1,4,2
14.0,9150.48,992.54,8,3,15,5.0,10,17.0,15.17,4.0,177.16,26.84775310634417,22.50044085925581,22.09894,314.65463,1,0,1,1,2
14.0,9150.48,992.54,8,3,15,5.0,10,19.0,9.17,7.0,177.16,36.4510439578511,22.50044085925581,49.999676,316.75388,1,168,1,4,2
14.0,9150.48,992.54,8,3,15,5.0,10,22.0,9.17,7.0,177.16,31.151596081509947,22.50044085925581,79.17129,287.58228,1,168,1,4,2
14.0,35593.16,2711.096666666667,6,10,27,4.0,47,21.0,15.67,11.0,1368.27,32.57319169943041,72.4217552457502,255.06877,233.61914,1,60,1,4,3
14.0,75888.64,6620.053333333332,3,6,11,6.0,18,11.0,16.44,7.0,1149.63,39.06544831707057,288.7240935458992,127.72165,485.5596,15,96,1,3,1
14.0,36597.55,2988.7958333333336,3,4,11,0.0,16,14.0,16.86,7.0,983.51,37.31956786029795,0.0,201.88214,356.99744,7,0,1,1,2
14.0,36597.55,2988.7958333333336,3,4,11,0.0,16,15.0,16.86,7.0,983.51,41.146783499886745,0.0,126.241646,452.63794,7,372,1,5,3
14.0,36597.55,2988.7958333333336,3,4,11,0.0,16,14.0,16.86,7.0,983.51,37.464718765827186,0.0,269.17252,319.7071,7,372,1,4,3
14.0,36597.55,2988.7958333333336,3,4,11,0.0,13,14.0,16.86,7.0,983.51,23.13935275147081,0.0,264.09174,304.78784,7,372,1,6,3
14.0,36597.55,2988.7958333333336,3,4,11,0.0,16,14.0,17.86,7.0,983.51,35.84112954865727,0.0,186.42314,372.45645,7,372,1,1,2
14.0,16791.76,1648.313333333333,8,10,33,3.0,49,13.0,16.13,9.0,2463.9,37.23218652699271,31.811389102419557,38.98607,334.03387,3,192,1,3,3
14.0,18885.93,1591.8275,9,7,22,2.0,22,18.0,7.55,8.0,1383.42,40.751282370275824,29.604560590172376,137.23236,282.34583,1,108,1,4,3
14.0,68657.76,5558.48,6,4,16,6.0,6,15.0,11.06,9.0,1532.41,34.971223922894374,282.67064734739336,115.85769,407.31967,12,204,1,2,3
14.0,68657.76,5558.48,6,4,16,6.0,6,12.0,11.06,9.0,1532.41,27.89053924359898,282.67064734739336,107.65056,415.5268,12,204,3,2,3
14.0,89869.72,7626.1433333333325,3,7,15,5.0,20,19.0,9.2,5.0,658.47,37.05170023780097,263.18996252711474,131.95146,617.4729,4,180,1,2,2
14.0,7912.96,751.4133333333333,7,6,22,3.0,29,23.0,1.76,9.0,2352.07,23.415396040922932,12.956388594253399,21.773157,300.41177,14,72,1,1,3
14.0,7912.96,751.4133333333333,7,6,22,3.0,34,26.0,8.76,9.0,2352.07,21.994038760457226,12.956388594253399,68.64385,273.54108,14,72,1,5,3
14.0,7912.96,751.4133333333333,7,6,22,3.0,34,23.0,1.76,9.0,2352.07,32.90206728510564,12.956388594253399,18.074177,294.11078,14,84,1,2,3
14.0,7912.96,751.4133333333333,7,6,22,3.0,34,23.0,1.76,9.0,2352.07,29.335217921612553,12.956388594253399,21.075544,311.1094,14,84,1,6,3
14.0,43270.47,3882.8725,3,4,19,2.0,9,18.0,15.01,5.0,1401.86,32.22505872155039,71.75087621356266,71.7239,494.81247,6,192,1,2,2
14.0,43270.47,3882.8725,3,4,19,2.0,12,15.0,15.01,9.0,1401.86,37.89178376201239,71.75087621356266,99.94562,456.59076,6,204,1,6,2
14.0,19453.05,1917.0875,3,6,10,6.0,23,18.0,19.86,8.0,731.24,25.554051483121476,77.11008866084916,63.78181,320.81686,8,192,1,6,2
14.0,19453.05,1917.0875,3,6,10,6.0,21,18.0,19.86,11.0,731.24,27.113091048584188,77.11008866084916,107.12338,267.47528,8,192,1,1,2
14.0,19453.05,1917.0875,3,6,10,6.0,19,18.0,23.86,11.0,731.24,38.330294496737906,77.11008866084916,75.87737,318.72128,8,204,1,5,2
14.0,14015.32,1238.9433333333334,8,3,11,6.0,20,20.0,19.01,7.0,1852.75,33.10466327161016,54.00190508879119,128.42961,221.46281,5,108,1,5,2
14.0,14015.32,1238.9433333333334,8,3,11,6.0,20,20.0,14.01,7.0,1852.75,34.290846885085024,54.00190508879119,156.90771,202.98471,5,108,1,4,2
14.0,14015.32,1238.9433333333334,8,3,11,6.0,20,20.0,19.01,7.0,1852.75,36.925241097932044,54.00190508879119,145.77974,214.11269,5,120,1,4,2
14.0,14015.32,1238.9433333333334,8,3,11,6.0,20,20.0,19.01,7.0,1852.75,36.26764645509309,54.00190508879119,105.134315,254.7581,5,120,1,4,2
14.0,14015.32,1238.9433333333334,8,3,11,6.0,20,20.0,19.01,7.0,1852.75,23.837463060260124,54.00190508879119,59.890453,270.00198,8,120,1,1,2
14.0,14015.32,1238.9433333333334,8,3,11,6.0,16,20.0,23.01,7.0,1852.75,33.44427297451866,54.00190508879119,42.05816,297.83426,5,120,1,6,2
14.0,39215.88,3419.99,5,6,13,6.0,9,18.0,16.1,5.0,1903.55,38.27805529523515,159.1221441703613,62.30348,360.57336,6,120,1,3,3
14.0,39215.88,3419.99,5,6,13,6.0,6,18.0,22.1,5.0,1903.55,34.172716907364524,159.1221441703613,56.668266,366.2086,6,132,1,3,3
14.0,39215.88,3419.99,5,6,13,6.0,9,18.0,16.1,5.0,1903.55,28.10126384503554,159.1221441703613,92.1717,350.70517,6,132,1,1,3
14.0,39215.88,3419.99,5,6,13,6.0,9,18.0,16.1,5.0,1903.55,32.08644744870093,159.1221441703613,82.258,350.61884,6,132,1,2,3
14.0,39215.88,3419.99,5,6,13,6.0,8,18.0,23.1,5.0,1903.55,30.74518568528422,159.1221441703613,112.21397,320.6629,6,0,1,2,3
14.0,84989.46,7314.454999999999,7,7,6,0.0,24,11.0,14.58,10.0,416.47,34.35298474258015,0.0,263.62424,717.8213,5,372,1,2,2
14.0,8435.625,714.96875,7,6,16,4.0,26,15.0,16.54,10.0,1559.69,24.463585404877826,15.229342874430444,32.074196,294.19333,15,96,1,6,3
14.0,8435.625,714.96875,7,6,16,4.0,30,15.0,16.54,10.0,1559.69,33.4579368815103,15.229342874430444,82.72719,263.54034,15,108,1,4,3
14.0,8435.625,714.96875,7,6,16,4.0,25,15.0,16.54,10.0,1559.69,24.99036078663197,15.229342874430444,87.56964,258.69788,15,108,1,4,3
14.0,8435.625,714.96875,7,6,16,4.0,25,15.0,16.54,10.0,1559.69,31.404604640038713,15.229342874430444,46.70774,299.55978,8,108,1,4,3
14.0,7946.09,883.1741666666667,7,10,17,5.0,54,27.0,7.36,12.0,1572.64,40.7504506028705,30.019943069494246,81.41288,266.88458,2,180,1,4,3
14.0,48151.86,4098.655000000002,4,5,20,4.0,23,9.0,14.94,8.0,2083.32,35.336160100102404,80.82314160569385,63.40103,515.6413,8,204,1,2,2
14.0,48151.86,4098.655000000002,4,5,20,4.0,26,9.0,14.94,8.0,2083.32,24.53459430743998,80.82314160569385,180.64526,408.3971,8,204,1,1,2
14.0,48151.86,4098.655000000002,4,5,20,4.0,26,6.0,14.94,8.0,2083.32,31.36760032510813,80.82314160569385,76.12299,492.91937,3,204,3,3,2
14.0,37720.58,3212.3816666666667,6,9,24,5.0,26,17.0,1.14,11.0,1573.68,27.155739473608573,128.94140886702775,350.9927,131.30406,5,120,1,4,3
14.0,37720.58,3212.3816666666667,6,9,24,5.0,22,15.0,-2.86,11.0,1573.68,33.317686121296376,128.94140886702775,302.4062,169.89056,5,0,1,5,3
14.0,37720.58,3212.3816666666667,6,9,24,5.0,22,16.0,4.14,11.0,1573.68,33.155330257262285,128.94140886702775,74.816055,367.4807,5,120,1,2,3
14.0,37720.58,3212.3816666666667,6,9,24,5.0,22,19.0,1.14,11.0,1573.68,39.124746466364066,128.94140886702775,30.273043,402.0237,5,120,1,3,3
14.0,38126.94,3373.245000000001,8,9,29,9.0,53,25.0,4.13,15.0,1606.16,36.03203205988311,168.5211474072466,94.47628,324.32706,7,0,1,2,3
14.0,20616.96,1882.08,9,10,23,3.0,36,25.0,15.97,9.0,2684.13,27.93239869881285,29.75642124622507,138.76765,289.68393,7,168,1,6,3
14.0,20616.96,1882.08,9,10,23,3.0,33,24.0,12.97,9.0,2684.13,31.69589385167212,29.75642124622507,46.69271,361.75888,7,168,1,2,3
14.0,76041.16,6078.763333333332,6,6,15,3.0,7,10.0,15.46,10.0,2473.58,35.311846075966905,184.72263056263716,150.68698,522.46674,1,216,1,2,3
14.0,36818.29,3007.1908333333336,6,6,11,7.0,11,11.0,19.92,7.0,563.84,27.684768945121398,195.50928742291282,296.6096,98.600204,3,144,3,4,2
14.0,36818.29,3007.1908333333336,6,6,11,7.0,8,9.0,19.92,7.0,563.84,36.15602089709493,195.50928742291282,135.24767,229.96213,3,156,1,1,2
14.0,36818.29,3007.1908333333336,6,6,11,7.0,11,6.0,19.92,7.0,563.84,40.27642967548388,195.50928742291282,158.58247,236.62732,3,156,1,4,2
14.0,36818.29,3007.1908333333336,6,6,11,7.0,14,9.0,19.92,7.0,563.84,38.52085748759434,195.50928742291282,323.91562,71.29417,3,156,1,4,2
14.0,20661.14,1626.7616666666665,8,8,18,7.0,17,11.0,20.29,4.0,1870.54,30.98253863915314,80.51185289485339,188.08223,184.08209,7,228,1,4,3
14.0,20661.14,1626.7616666666665,8,8,18,7.0,20,11.0,9.29,6.0,1870.54,26.24600996357195,80.51185289485339,44.517975,307.64633,7,228,1,6,3
14.0,20661.14,1626.7616666666665,8,8,18,7.0,17,13.0,15.29,6.0,1870.54,25.90959673761177,80.51185289485339,85.987236,286.17706,7,228,1,4,3
14.0,20661.14,1626.7616666666665,8,8,18,7.0,12,11.0,15.29,6.0,1870.54,37.73111161020668,80.51185289485339,55.51155,316.65277,7,228,1,4,3
14.0,20661.14,1626.7616666666665,8,8,18,7.0,17,11.0,12.29,6.0,1870.54,40.01285162144411,80.51185289485339,78.896614,293.2677,7,228,1,4,2
14.0,20661.14,1626.7616666666665,8,8,18,7.0,17,11.0,15.29,6.0,1870.54,39.11676268987959,80.51185289485339,39.324543,292.83978,7,228,1,2,2
14.0,20661.14,1626.7616666666665,8,8,18,7.0,17,9.0,20.29,6.0,1870.54,32.16299413235235,80.51185289485339,84.60099,287.56332,7,228,1,4,2
14.0,10353.13,677.7608333333333,7,5,34,8.0,53,27.0,3.5,6.0,2237.99,31.103330126954642,55.30319447364891,68.9885,233.48439,7,228,1,4,3
14.0,10353.13,677.7608333333333,7,5,34,8.0,54,25.0,3.5,6.0,2237.99,27.22634161860635,55.30319447364891,83.43334,219.03955,7,228,1,4,3
14.0,10353.13,677.7608333333333,7,5,34,8.0,54,27.0,3.5,6.0,2237.99,38.01761442922631,55.30319447364891,58.876606,243.59628,7,0,1,4,2
14.0,10353.13,677.7608333333333,7,5,34,8.0,53,25.0,3.5,6.0,2237.99,25.792796693469768,55.30319447364891,69.2269,233.24599,7,240,1,4,3
14.0,10353.13,677.7608333333333,7,5,34,8.0,54,24.0,1.5,11.0,2237.99,31.787539180059447,55.30319447364891,41.068382,231.40451,7,240,1,1,2
14.0,10353.13,677.7608333333333,7,5,34,8.0,54,25.0,3.5,11.0,2237.99,38.39899741633979,55.30319447364891,27.444565,275.02832,7,240,3,4,2
14.0,54832.83,4564.4025,6,9,24,3.0,42,16.0,23.03,8.0,1805.46,29.22356882700476,121.35240068296301,287.25433,337.83353,8,0,1,6,3
14.0,54832.83,4564.4025,6,9,24,3.0,42,16.0,18.03,10.0,1805.46,23.001388423519984,121.35240068296301,387.25946,227.8284,8,240,3,5,3
14.0,54832.83,4564.4025,6,9,24,3.0,42,15.0,18.03,10.0,1805.46,33.02360759644949,121.35240068296301,93.85724,481.23062,8,240,1,3,2
14.0,54832.83,4564.4025,6,9,24,3.0,42,16.0,24.03,10.0,1805.46,28.77094714549699,121.35240068296301,161.34985,423.738,8,0,1,2,2
14.0,15686.54,1291.2116666666668,3,5,8,4.0,5,10.0,13.12,6.0,1657.45,35.19997535721604,28.17472787597497,62.378975,328.56747,9,156,1,4,3
14.0,15686.54,1291.2116666666668,3,5,8,4.0,5,10.0,13.12,6.0,1657.45,26.096451086426388,28.17472787597497,84.00063,296.9458,9,0,1,5,2
14.0,18216.63,1319.0525,7,9,18,9.0,40,15.0,15.69,8.0,3254.51,26.02347156916676,105.64760729138594,118.14343,198.11421,6,48,3,4,2
14.0,18216.63,1319.0525,7,9,18,9.0,42,12.0,15.69,8.0,3254.51,25.73276445293141,105.64760729138594,131.45828,184.79936,6,48,1,4,2
14.0,18474.664,1623.5554166666668,6,4,8,4.0,30,8.0,17.81,4.0,1070.85,28.981064179263054,41.77876669551781,66.18605,304.39072,2,312,1,2,2
14.0,18474.664,1623.5554166666668,6,4,8,4.0,28,8.0,17.81,4.0,1070.85,26.705755734263967,41.77876669551781,160.69974,239.87703,2,312,1,5,2
14.0,18474.664,1623.5554166666668,6,4,8,4.0,28,8.0,17.81,4.0,1070.85,30.34184797768907,41.77876669551781,74.3773,326.1995,2,324,1,5,2
14.0,18248.5,1811.708333333333,7,7,26,2.0,55,8.0,14.17,12.0,1738.41,36.90863457406295,24.893701723726977,21.398115,384.87903,9,180,1,2,3
14.0,29905.94,2362.1616666666664,9,8,34,6.0,27,16.0,21.79,11.0,2987.02,31.46863026816495,123.09744018256555,64.00883,309.1099,9,108,3,1,3
14.0,29905.94,2362.1616666666664,9,8,34,6.0,27,16.0,24.79,11.0,2987.02,36.38221188945041,123.09744018256555,168.5549,214.56383,9,108,3,6,3
14.0,29905.94,2362.1616666666664,9,8,34,6.0,27,16.0,24.79,13.0,2987.02,37.6633171089515,123.09744018256555,288.29663,114.822105,8,108,1,4,3
14.0,29905.94,2362.1616666666664,9,8,34,6.0,24,17.0,21.79,13.0,2987.02,32.92313242655192,123.09744018256555,168.37717,234.74155,9,0,1,4,3
14.0,19253.02,1591.418333333333,3,3,17,7.0,6,8.0,13.08,8.0,1264.11,27.286185152412763,78.30239061912039,204.92616,165.91328,13,72,1,4,2
14.0,19253.02,1591.418333333333,3,3,17,7.0,6,9.0,8.08,8.0,1264.11,36.796890642712704,78.30239061912039,37.61046,293.22897,13,72,3,2,2
14.0,19253.02,1591.418333333333,3,3,17,7.0,6,8.0,14.08,8.0,1264.11,27.440862403043237,78.30239061912039,130.1719,240.66753,13,72,3,4,2
14.0,19253.02,1591.418333333333,3,3,17,7.0,6,11.0,8.08,8.0,1264.11,26.10307438735112,78.30239061912039,90.04297,270.79648,8,72,1,5,2
14.0,71933.7,6091.475000000001,3,7,12,2.0,27,14.0,11.78,7.0,661.9,30.68196188301252,62.45662090960949,107.6697,679.0212,9,228,1,3,2
14.0,71933.7,6091.475000000001,3,7,12,2.0,27,12.0,11.78,7.0,661.9,35.2279027522151,62.45662090960949,336.296,480.3949,8,240,3,6,2
14.0,12680.815,1334.7345833333334,4,5,14,0.0,26,11.0,12.79,6.0,704.18,24.794937255164193,0.0,99.50274,303.97073,13,204,1,6,2
14.0,15303.58,1179.2983333333334,8,6,23,7.0,43,15.0,3.86,7.0,1602.27,40.30159364394989,68.24132048087836,75.66695,264.02158,2,204,1,4,3
14.0,15303.58,1179.2983333333334,8,6,23,7.0,47,12.0,9.86,7.0,1602.27,28.437690597750482,68.24132048087836,138.51636,201.17216,2,0,1,4,3
